"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B00140J9KI","江埔街医院","医疗保健服务;综合医院;卫生院","090102","[]","街口街河东南路39号","113.596513","23.540541","113.59140963292504","23.54331349941302","020-87982714;020-87987223","广东省","广州市","从化区"
"B00140ULIZ","神岗卫生院","医疗保健服务;综合医院;卫生院","090102","[]","太平镇广从南路2134号","113.527741","23.481732","113.52250506047405","23.484401917002128","020-87825123;020-87826554","广东省","广州市","从化区"
"B0FFIZ5AR2","灌村卫生院","医疗保健服务;综合医院;卫生院","090102","[]","温泉镇石坑政通路92号","113.714085","23.579550","113.70885862843645","23.582161423770778","020-87891036","广东省","广州市","从化区"
"B00140ULJF","广州市增城区中新镇福和卫生院","医疗保健服务;综合医院;卫生院","090102","[]","朱福路15号","113.637470","23.355257","113.63236267839984","23.35801683193388","020-82831004;020-82833211","广东省","广州市","增城区"
"B00141J9H7","小楼卫生院","医疗保健服务;综合医院;卫生院","090102","[]","小楼镇腊圃小学西南(380省道北)","113.789003","23.415997","113.78383568140572","23.418617886365425","020-82844380","广东省","广州市","增城区"
"B0FFGIW5TV","广州市从化区温泉镇卫生院","医疗保健服务;综合医院;卫生院","090102","[]","龙泉路12号","113.668086","23.601003","113.66291918703206","23.603694612601302","020-87831906;020-87838120","广东省","广州市","从化区"
"B0FFLJXYZD","增城区派潭镇中心卫生院","医疗保健服务;综合医院;卫生院","090102","[]","文政路与派谭教育路交叉口北200米","113.779995","23.491236","113.77480526472196","23.49383901849242","[]","广东省","广州市","增城区"
"B00140W2YM","东明卫生院","医疗保健服务;综合医院;卫生院","090102","[]","东明镇五和村","113.872366","23.890064","113.86737342248648","23.892892447742692","[]","广东省","广州市","从化区"
"B0FFLPVNMN","高峰村卫生站","医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所","090102|090300","[]","高峰小学东北侧100米","113.648434","23.549830","113.64330002149212","23.55255426146661","[]","广东省","广州市","从化区"
"B00141IG5X","从化区街口街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","街口街西宁中路4巷1号商贸大厦对面","113.586760","23.551398","113.5816491987026","23.554168106334796","020-87922158;020-87924622","广东省","广州市","从化区"
"B0FFGKDOFU","正果镇卫生院","医疗保健服务;综合医院;卫生院","090102","[]","正南街1巷附近","113.889686","23.404667","113.88475343967087","23.40744334078443","020-82811087;020-82811302","广东省","广州市","增城区"
"B0FFFZN4D3","江埔街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","河东南路39号","113.596690","23.540538","113.5915867136392","23.54331050850114","020-37983325;020-87983566","广东省","广州市","从化区"
"B0FFK7PQTZ","广州市从化区良口镇中心卫生院","医疗保健服务;综合医院;卫生院","090102","[]","良口镇新城路39号","113.734109","23.716915","113.72886406184912","23.719528327807488","020-87852133;020-87852202","广东省","广州市","从化区"
"B0I6RUVE0Y","明珠社区卫生服务中心(新址)","医疗保健服务;综合医院;卫生院","090102","[]","明珠建设南二巷广场路1号","113.532868","23.593969","113.52764073294792","23.596654087158274","020-87905336","广东省","广州市","从化区"
"B00141J9D1","朱村街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","朱村街道朱村大道西14号","113.692246","23.273129","113.68706466768404","23.275811727223715","[]","广东省","广州市","增城区"
"B0JBP95QVJ","新龙镇中心卫生院","医疗保健服务;综合医院;卫生院","090102","[]","镇龙宝龙三街与广华路交叉口东南240米","113.586478","23.275768","113.58138521460185","23.27857646298189","[]","广东省","广州市","黄埔区"
"B0HAGUW0W3","广东省广州市增城区小楼镇沙岗村卫生站","医疗保健服务;综合医院;卫生院","090102","[]","小楼镇沙岗村沙一路31号","113.735590","23.377146","113.73036799947626","23.379750110352543","[]","广东省","广州市","增城区"
"B0FFFE2UIG","正果医院","医疗保健服务;综合医院;卫生院","090102","[]","正果大道175号","113.889291","23.404741","113.88435793335137","23.407517122684446","020-82811087;020-82811302","广东省","广州市","增城区"
"B00140ULIQ","花都区花东镇北兴卫生院","医疗保健服务;综合医院;卫生院","090102","[]","花都大道北16号","113.418758","23.426059","113.41322123188687","23.428474849215352","020-86796332;020-86798673","广东省","广州市","花都区"
"B0014092F4","新华医院","医疗保健服务;综合医院;卫生院","090102","[]","新华街商贸路1号","113.198787","23.379690","113.19340331605088","23.382248252307942","020-22677866;020-86863248;020-86871091","广东省","广州市","花都区"
"B00140SYSH","广州市花都区梯面镇卫生院","医疗保健服务;综合医院;卫生院","090102","[]","梯面镇金梯大道40号","113.299457","23.551194","113.29405438543436","23.553740980682317","020-86786263;020-86851526","广东省","广州市","花都区"
"B00140W6L4","花山镇卫生院","医疗保健服务;综合医院;卫生院","090102","[]","两龙育才路1号","113.279741","23.457318","113.27437462661287","23.45989434719776","020-86848553;020-86948333;020-86947161","广东省","广州市","花都区"
"B00141IDJ2","新华社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","农新路8号","113.197658","23.380549","113.19227243475882","23.383105254651483","[]","广东省","广州市","花都区"
"B00140UDZE","广州市白云区龙归华侨医院","医疗保健服务;综合医院;卫生院","090102","[]","龙归墟公路南3号","113.304438","23.283708","113.29904460522845","23.286282878870878","020-36364393;020-36366091","广东省","广州市","白云区"
"B00140NZ2M","江高镇卫生院","医疗保健服务;综合医院;卫生院","090102","[]","江高镇镇中南路43号","113.189060","23.330470","113.18366321352981","23.333022112843043","020-86607899;020-86608357","广东省","广州市","白云区"
"B0HU9H6ML9","梯面卫生院","医疗保健服务;综合医院;卫生院","090102","[]","梯面镇金梯大道26号","113.299840","23.551374","113.29443669500023","23.553920372558714","[]","广东省","广州市","花都区"
"B00140JK4Q","天贵社区卫生服务中心","医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所","090102|090300","[]","新华街新华路133号","113.222440","23.378634","113.21708716695066","23.381223870874596","[]","广东省","广州市","花都区"
"B00141IG66","赤坭镇卫生院","医疗保健服务;综合医院;卫生院","090102","[]","赤坭镇沿江路2号","113.075009","23.388819","113.06951273229723","23.39124871933954","020-86841326;020-86841331","广东省","广州市","花都区"
"B001408283","鳌头镇医院","医疗保健服务;综合医院;卫生院","090102","[]","鳌头镇","113.419405","23.619791","113.41385534653779","23.622206440250626","020-87876999","广东省","广州市","从化区"
"B00140W2WS","炭步镇中心卫生院","医疗保健服务;综合医院;卫生院","090102","[]","桥南路22号","113.103641","23.339186","113.09812892134168","23.341614436066294","020-86742120;020-86843263","广东省","广州市","花都区"
"B0FFGFPXZY","花都区合成社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","合成社区卫生服务中心狮岭大道东28号","113.188350","23.439807","113.1829445085914","23.442338527686058","020-22973070","广东省","广州市","花都区"
"B00141JU78","狮岭镇卫生院","医疗保健服务;综合医院;卫生院","090102","[]","狮岭镇旗岭大街19号","113.223264","23.465793","113.21790601863228","23.468372150023455","020-28603433;020-86854835","广东省","广州市","花都区"
"B00140VB1I","芙蓉卫生站","医疗保健服务;综合医院;卫生院","090102","[]","芙蓉镇旗岭大街19号","113.223016","23.465694","113.2176577966664","23.468272918301956","[]","广东省","广州市","花都区"
"B00141J5WJ","人和镇卫生院","医疗保健服务;综合医院;卫生院","090102","[]","江人二路132号","113.258671","23.293407","113.25333354722436","23.29602910229268","020-86039209","广东省","广州市","白云区"
"B00141J7YA","嘉禾街望岗社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","鹤龙路223-228君天大厦1层","113.280333","23.234282","113.27498101986622","23.236906501534595","020-31237393","广东省","广州市","白云区"
"B00141ICIA","龙塘村卫生站","医疗保健服务;综合医院;卫生院","090102","[]","钟落潭镇龙塘村","113.331472","23.336158","113.32602078635225","23.33866926655368","13710678602","广东省","广州市","白云区"
"B0FFIQ84AA","花侨卫生院","医疗保健服务;综合医院;卫生院","090102","[]","花东镇花侨商业街116号","113.374788","23.419572","113.36925736699992","23.42199814001377","020-86771433;020-86771493","广东省","广州市","花都区"
"B00141J50J","白云区均禾街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","新石路清湖段618号","113.274153","23.256278","113.2688065494035","23.2589015285883","020-36785157","广东省","广州市","白云区"
"B00141JIFB","华洲街小洲社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","华洲街小洲村拱北大街23号","113.357976","23.061757","113.35249331858643","23.064317184511733","020-34080662","广东省","广州市","海珠区"
"B00140AMLO","华洲街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","海珠区华洲街土华新埗头东1号","113.354178","23.071891","113.34870103987429","23.074452969040614","020-89886139","广东省","广州市","海珠区"
"B00140KU7H","仑头社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","仑头村车站南路38号2层","113.378514","23.076207","113.37300317921438","23.078734753670098","[]","广东省","广州市","海珠区"
"B0H6XNSW7C","新基村刘志荣社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","新基大道东伟奥工业园","113.364914","23.027146","113.35942296823453","23.029710789356606","[]","广东省","广州市","番禺区"
"B0FFG9IXOC","华洲街小洲社区卫生服务站预防接种门诊","医疗保健服务;综合医院;卫生院","090102","[]","小洲拱北大街23号","113.358097","23.061719","113.35261412287142","23.06427901189328","020-34080662","广东省","广州市","海珠区"
"B00140AJDF","江海街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","江海街道墩和路217号","113.320932","23.086819","113.31551944604625","23.089435790268787","020-89225657","广东省","广州市","海珠区"
"B0H0LCGA7G","番禺区洛浦街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","洛浦街沙溪大道509号","113.350156","23.034113","113.3446887646574","23.03669788833045","[]","广东省","广州市","番禺区"
"B0FFFDC4VW","天河区黄村街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","东圃镇黄村大道西华里2号","113.411548","23.124542","113.40602659569203","23.127039936479175","020-82520933","广东省","广州市","天河区"
"B00140USA0","海珠区赤岗街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","赤岗北路18号","113.328237","23.098788","113.32280861964743","23.101385896131116","020-89663395;020-89663773","广东省","广州市","海珠区"
"B00141JMML","南村镇社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","南村镇兴业路大坪岗诺德道3号西段","113.343933","22.988840","113.33848051872418","22.991455436432446","020-39217883","广东省","广州市","番禺区"
"B00140CIIZ","官洲街北山社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","官洲街北山村北山大街7号","113.370139","23.083017","113.36463706447219","23.08555108154775","020-34089892;020-84059212","广东省","广州市","海珠区"
"B0FFF4AJOV","海珠区官洲街南苑社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","仁义街2号(官洲街南苑社区卫生服务站对面)","113.379257","23.077838","113.37374536773166","23.080364364529615","[]","广东省","广州市","海珠区"
"B00140WA1Q","官洲街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","赤沙路自编126号","113.357466","23.086760","113.3519824531992","23.089310410725513","020-84091637;020-84091691;020-84094250","广东省","广州市","海珠区"
"B00140CBFY","天河区林和街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","天河北路382号","113.329591","23.141191","113.32415695542844","23.143769082771225","020-38810251;020-38813101","广东省","广州市","天河区"
"B0FFFHJERM","东山街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","五羊邨地铁站D口步行410米","113.311073","23.121387","113.30567791603058","23.12400774530701","020-87375862","广东省","广州市","越秀区"
"B0FFGCAYPO","龙潭社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","龙潭西约村头街6号","113.332821","23.082634","113.32738431194123","23.085229908238396","020-34040640","广东省","广州市","海珠区"
"B0FFH8AZBJ","南洲街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","南洲路88号","113.323204","23.059547","113.31778863366786","23.062171024527927","020-84143870;020-84158199","广东省","广州市","海珠区"
"B00140623B","广州市番禺区沙湾人民医院","医疗保健服务;综合医院;卫生院","090102","[]","大巷涌路97号","113.338889","22.900099","113.33345241273175","22.90276128769347","020-34877735;020-84731303;020-84731645","广东省","广州市","番禺区"
"B00140MGVH","三滘社区卫生服务站(后滘院区)","医疗保健服务;综合医院;卫生院","090102","[]","后滘大街2号","113.316883","23.066478","113.31148005552689","23.069110973583612","020-34272680;020-84165355","广东省","广州市","海珠区"
"B0G0VYIUDR","官堂村林子良社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","商业大街13号","113.350458","23.015716","113.3449914664084","23.0183083080168","[]","广东省","广州市","番禺区"
"B00140W2U8","新龙镇中心卫生院大坦村卫生站","医疗保健服务;综合医院;卫生院","090102","[]","新龙镇大坦村","113.586145","23.263402","113.58105271755028","23.266214022757175","[]","广东省","广州市","黄埔区"
"B0FFGH66NK","仙村医院","医疗保健服务;综合医院;卫生院","090102","[]","卫生路4号","113.717504","23.164038","113.71230295434374","23.166720744062776","020-82935240;020-82936433","广东省","广州市","增城区"
"B0FFG9ISR0","广东省预防接种门诊","医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所|医疗保健服务;疾病预防机构;疾病预防","090102|090300|090500","[]","小楼镇荷花路6号","113.832385","23.380622","113.8273289946222","23.38332324896171","020-82844380","广东省","广州市","增城区"
"B00140W4HP","赤草村卫生站","医疗保健服务;综合医院;卫生院","090102","[]","赤草凤凰新街与广从公路交叉口西200米","113.569078","23.509829","113.56394633573929","23.512583166734572","[]","广东省","广州市","从化区"
"B00140VAMZ","左村卫生站","医疗保健服务;综合医院;卫生院","090102","[]","左村村前二街与横江路交叉口东北60米","113.529894","23.632991","113.52465474129887","23.635672612588035","[]","广东省","广州市","从化区"
"B00140VAO1","小楼卫生院","医疗保健服务;综合医院;卫生院","090102","[]","小楼镇荷花路6号","113.833480","23.381187","113.82842692216728","23.383890209335302","020-82842832","广东省","广州市","增城区"
"B0JBP966M2","龙湖街龙祥社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","旺村东路与旺村业田路交叉口西380米","113.559181","23.312076","113.55404302779657","23.31484403044753","[]","广东省","广州市","黄埔区"
"B0FFK8940W","吕田镇卫生院","医疗保健服务;综合医院;卫生院","090102","[]","吕田镇广新路2号","113.949362","23.809312","113.94439496469714","23.812080225334622","020-87856092","广东省","广州市","从化区"
"B00141PSEB","中新广州知识城医院黄埔区新龙镇中心卫生院","医疗保健服务;综合医院;卫生院","090102","[]","新龙镇镇龙村镇龙大道429号","113.570397","23.277054","113.56528305836737","23.279848146194762","020-82877726;020-82878182","广东省","广州市","黄埔区"
"B0FFH9A7ZD","从化区城郊街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","城新路","113.579512","23.568684","113.57439213627245","23.571450095678067","020-87910693;020-87914348","广东省","广州市","从化区"
"B0G3SUVUQE","荔城街社区服务中心金竹社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","金竹三路36号","113.806895","23.293104","113.8017771622554","23.295778573760234","[]","广东省","广州市","增城区"
"B0FFLJT8F5","黄埔区新龙镇镇龙社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","镇龙银龙路与高车路交叉口东南20米","113.574169","23.277558","113.56906105485311","23.280356302199927","[]","广东省","广州市","黄埔区"
"B0FFF47YPZ","从化区街口街中田社区卫生服务站(暂停营业)","医疗保健服务;综合医院;卫生院","090102","[]","建云东路41号","113.588460","23.543142","113.5833512423203","23.545912658327882","[]","广东省","广州市","从化区"
"B0FFHWHWK8","广州市黄埔区九龙镇中心卫生院","医疗保健服务;综合医院;卫生院","090102","[]","九佛中路1306号(知识城地铁站A口步行160米)","113.524155","23.349068","113.51891627266083","23.351746707989204","020-87488066","广东省","广州市","黄埔区"
"B0FFHDY6SM","广州市增城区中新镇中心卫生院","医疗保健服务;综合医院;卫生院","090102","[]","新墩路12号","113.621316","23.284604","113.61622740748119","23.28740115874041","020-82866770","广东省","广州市","增城区"
"B0FFJAMLCS","荔城街社区卫生服务中心锦绣社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","荔景大道北457号","113.827063","23.309473","113.82199726241595","23.312180102148236","020-82611139","广东省","广州市","增城区"
"B0FFIR971K","增江街社区卫生服务中心(医院)","医疗保健服务;综合医院;卫生院","090102","[]","东桥东路与经三路交叉口西南200米","113.855208","23.277087","113.8502181792633","23.279853836530627","020-22613399","广东省","广州市","增城区"
"B00141TWM4","城郊街新星村卫生站","医疗保健服务;综合医院;卫生院","090102","[]","城郊街横江大道","113.574150","23.584338","113.5690216389607","23.587100061664266","[]","广东省","广州市","从化区"
"B00140UEE0","南沙区南沙街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","进港大道54号","113.548881","22.799933","113.54375216749172","22.8028790863622","[]","广东省","广州市","南沙区"
"B00141IH0M","广州市黄埔区南岗街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","兆昌路58号","113.553438","23.102015","113.54830073235048","23.10484587879347","[]","广东省","广州市","黄埔区"
"B00140MBOE","清布社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","新华街清㘵村19队坑仔边","113.263317","23.382108","113.25797104968272","23.384707643048806","020-86822533","广东省","广州市","花都区"
"B0FFLJV2AG","花都区狮岭镇社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","振兴路与西瓜岭十一巷交叉口东北20米","113.159713","23.463363","113.1542530130653","23.465838855526364","[]","广东省","广州市","花都区"
"B0HGY7XX4G","花都区花城街罗仙村卫生站","医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所","090102|090300","[]","罗仙路罗仙新村","113.243298","23.434623","113.23795316199084","23.437217452106566","[]","广东省","广州市","花都区"
"B0FFLJUIP5","鳌头镇中心卫生院","医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所","090102|090300","[]","康卫路25号","113.419590","23.620438","113.41404048209404","23.62285366042545","020-87876999","广东省","广州市","从化区"
"B0FFK5P4GT","花都区第二人民医院预防接种门诊杨屋接种点","医疗保健服务;综合医院;卫生院|医疗保健服务;疾病预防机构;疾病预防","090102|090500","[]","狮岭镇717乡道","113.206199","23.416923","113.20082406074062","23.41948664369343","[]","广东省","广州市","花都区"
"B0FFGYV73Q","北兴医院","医疗保健服务;综合医院;卫生院","090102","[]","花都大道东16号","113.418878","23.426039","113.41334134631823","23.428454941081096","020-86798673","广东省","广州市","花都区"
"B00141IGO2","广州市花都区新华街田美村卫生站","医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所","090102|090300","[]","新华镇田美村","113.227784","23.390239","113.2224349374172","23.39283161022565","[]","广东省","广州市","花都区"
"B0HDK5CYHZ","广州市花都区雅宝卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","平步大道中131-12","113.190011","23.424855","113.1846094628138","23.427391274710885","[]","广东省","广州市","花都区"
"B00141ICFJ","九潭村卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","毕村中路与九潭村路交叉口西北40米","113.179696","23.386763","113.17427836216098","23.389286261420587","[]","广东省","广州市","花都区"
"B0FFF9PI7X","秀全社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","保利城北街与花港大道交叉口东南40米","113.162476","23.376157","113.15702700622364","23.37864974828379","[]","广东省","广州市","花都区"
"B0FFHOI19M","雅瑶社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","雅源中路82号","113.217379","23.361881","113.21202209034358","23.364468727787415","020-22963220","广东省","广州市","花都区"
"B00141JTRS","花都新街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","新华街道新街西路2号","113.199238","23.363309","113.19385615006591","23.365871149587015","020-86865926","广东省","广州市","花都区"
"B00141JA4T","东平社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","东平北路128号","113.317862","23.255618","113.31244424583485","23.25817727711467","020-36012056","广东省","广州市","白云区"
"B0FFK8EHTI","广州市从化区鳌头镇龙潭卫生院","医疗保健服务;综合医院;卫生院","090102","[]","鳌头镇龙潭琶江路46号","113.413058","23.666330","113.40749992762849","23.66874828078757","020-87884854","广东省","广州市","从化区"
"B00141HY87","广州市白云区石门街社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","石门街石沙公路800号","113.217676","23.227152","113.21232852341313","23.229777158569846","020-26277237","广东省","广州市","白云区"
"B0FFGDTLMA","狮岭宝峰社区卫生服务中心","医疗保健服务;综合医院;卫生院","090102","[]","金狮大道东1-2号附近","113.166936","23.466996","113.1614890137625","23.46948502814156","020-62903119","广东省","广州市","花都区"
"B0FFLKQEDA","花都区秀全街九潭社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","新民巷","113.179661","23.386665","113.17424330387867","23.389188213176233","[]","广东省","广州市","花都区"
"B0HRY5H7W4","小康云医互联网医院","医疗保健服务;综合医院;卫生院","090102","[]","太和镇大来南路26号","113.357126","23.293911","113.35162882410226","23.296387284988164","020-86211230;18011856153","广东省","广州市","白云区"
"B0H04A8A3L","江高镇卫生院水沥门诊部","医疗保健服务;综合医院;卫生院","090102","[]","夏花四路与茅山新南街交叉口东北40米","113.233648","23.309562","113.22830820704561","23.31217632042345","[]","广东省","广州市","白云区"
"B0FFG8DH0V","花都区人民医院医疗集团花东镇中心卫生院","医疗保健服务;综合医院;卫生院","090102","[]","花都大道东南7号","113.330736","23.434956","113.32527951688357","23.437451235817335","020-86849472","广东省","广州市","花都区"
"B0FFK4GCI4","合成社区卫生服务中心预防接种门诊","医疗保健服务;综合医院;卫生院","090102","[]","狮岭大道东西50米","113.188314","23.439777","113.18290844664399","23.442308466605116","[]","广东省","广州市","花都区"
"B0FFF9LOPR","锦东社区卫生服务站","医疗保健服务;综合医院;卫生院","090102","[]","桂花路61号","113.231049","23.407092","113.22570107558666","23.40968434993662","020-36968100","广东省","广州市","花都区"
"B00141ICI9","大罗村卫生站","医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所","090102|090300","[]","钟落潭镇大罗村大罗路228号","113.355592","23.334223","113.35009463395255","23.336691371676253","[]","广东省","广州市","白云区"
"B0FFH117SM","汉塘卫生站","医疗保健服务;综合医院;卫生院","090102","[]","汉塘西路南十四巷与267省道交叉口西南20米","113.325571","23.377290","113.32012912618784","23.379803871661892","[]","广东省","广州市","白云区"
"B0FFJUZ6H9","永泰新村社区卫生服务","医疗保健服务;综合医院;卫生院","090102","[]","街白云堡大道北20号一楼永平白云堡大道北20号一楼永平街","113.303156","23.225937","113.29776889503408","23.228532207609504","[]","广东省","广州市","白云区"
"B0FFFAII4Q","沙田卫生站(良沙路)","医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所","090102|090300","[]","良沙路5052号","113.485871","23.311366","113.48050211956094","23.313940557796393","[]","广东省","广州市","白云区"
