name,type,typecode,address,pname,cityname,adname,gcj02_lon,gcj02_lat,wgs84_lon,wgs84_lat
阳阳教育托管中心,科教文化服务;科教文化场所;科教文化场所,140000,东湖路南三巷12号,广东省,广州市,增城区,113.84879,23.287019,113.8437836,23.28977224
精品早教托育,科教文化服务;培训机构;培训机构,141400,锦绣御景国际二期北门西140米,广东省,广州市,增城区,113.804583,23.292528,113.7994595,23.2951988
全优加早教中心(锦绣国际校区),科教文化服务;培训机构;培训机构,141400,荔星大道147号(锦绣御景国际二期),广东省,广州市,增城区,113.804608,23.292401,113.7994845,23.29507188
乐贝尔国际托育早教中心,科教文化服务;培训机构;培训机构,141400,规划一路与朱村大道东交叉口北约180米,广东省,广州市,增城区,113.747233,23.278819,113.7420202,23.28144304
天天乐幼儿园(宏华路),科教文化服务;培训机构;培训机构,141400,宏华南路23-25,广东省,广州市,增城区,113.827645,23.298626,113.8225816,23.30133711
鹿儿港婴幼儿托育园,科教文化服务;学校;幼儿园,141204,增城大道2号1栋117,广东省,广州市,增城区,113.823152,23.274127,113.818078,23.27683662
乐儿堡教育(早教托管),科教文化服务;培训机构;培训机构,141400,光明西路84号,广东省,广州市,增城区,113.827433,23.28806,113.8223697,23.29077366
展翅教育托管中心,科教文化服务;培训机构;培训机构,141400,富鹏小学对面,广东省,广州市,增城区,113.832037,23.301424,113.8269853,23.30414266
阳阳教育托管中心,科教文化服务;培训机构;培训机构,141400,塘园中路60号,广东省,广州市,增城区,113.833349,23.300072,113.8283009,23.3027935
文烨教育托管(二小店),科教文化服务;培训机构;培训机构,141400,荔城街挂绿路南一巷六号,广东省,广州市,增城区,113.833235,23.288289,113.8281874,23.29101356
飞越教育托管中心,科教文化服务;培训机构;培训机构,141400,城北路西六巷7号(大鹏小学对面),广东省,广州市,增城区,113.83446,23.300017,113.8294149,23.30274061
爱德教育托管辅导中心,科教文化服务;培训机构;培训机构,141400,沿江东路与东境中路交叉口东80米,广东省,广州市,增城区,113.834851,23.274323,113.8298087,23.27705466
妈咪宝贝国际婴幼儿早教托育中心,科教文化服务;培训机构;培训机构,141400,石滩绿湖国际1期翠湖路2至6号,广东省,广州市,增城区,113.787958,23.20273,113.7828028,23.20540457
金瑶篮优托教育中心,科教文化服务;培训机构;培训机构,141400,石滩镇麻车更楼环村路9号,广东省,广州市,增城区,113.772687,23.200814,113.7675047,23.20347287
亲呀呀精致智慧托育(碧桂园豪园),科教文化服务;培训机构;培训机构,141400,石滩镇碧桂园豪园翠湖苑四街49号,广东省,广州市,增城区,113.821825,23.222254,113.8167509,23.22497777
育英托管,公司企业;公司;公司,170200,石滩镇麻车村江吓新村三巷39号,广东省,广州市,增城区,113.773188,23.198602,113.7680066,23.20126209
Tiny Hands托育(珠光山水御苑店),购物服务;购物相关场所;购物相关场所,60000,温泉镇大街苑雅街9号山水御苑小区,广东省,广州市,从化区,113.620917,23.592591,113.6158082,23.595355
童景托育-珠光山水御苑园区,科教文化服务;培训机构;培训机构,141400,御苑雅街16号,广东省,广州市,从化区,113.621505,23.592696,113.6163958,23.59545946
贝安斯国际婴幼早教托育中心,科教文化服务;培训机构;培训机构,141400,元亨路31号,广东省,广州市,增城区,113.679707,23.271205,113.6745441,23.27391122
先本教育托管中心,科教文化服务;培训机构;培训机构,141400,谷岭路1-3(朱村街中心小学正门出来左行0米),广东省,广州市,增城区,113.697285,23.279098,113.6920966,23.28177036
贝贝教育(托管)中心,科教文化服务;培训机构;培训机构,141400,恒安路与朱村恒福路交叉口东20米,广东省,广州市,增城区,113.702829,23.273386,113.6976343,23.27605113
真棒教育(个性化辅导午晚托书法),公司企业;公司;公司,170200,大田村府南一路14号,广东省,广州市,增城区,113.623641,23.294602,113.6185503,23.29739403
学托教育,科教文化服务;培训机构;培训机构,141400,裕华路与裕华一街交叉口西北180米,广东省,广州市,增城区,113.648488,23.123789,113.6433822,23.12660596
贝艺托育园(天伦第三分店),科教文化服务;培训机构;培训机构,141400,新塘镇锦绣天伦新绣北路128街,广东省,广州市,增城区,113.640382,23.126644,113.6352864,23.12947288
豆豆巴托育园,科教文化服务;培训机构;培训机构,141400,新塘镇敏捷锦绣天伦新绣一路3-5号共两层,广东省,广州市,增城区,113.638294,23.127731,113.6332008,23.13056257
里享家托管教育中心,科教文化服务;培训机构;培训机构,141400,新塘镇锦绣天伦四街4-6号,广东省,广州市,增城区,113.640111,23.125318,113.6350158,23.12814783
书仁教育托辅中心,科教文化服务;培训机构;培训机构,141400,新沙大道北,广东省,广州市,增城区,113.640225,23.124825,113.6351297,23.12765485
树人托管教育连锁,科教文化服务;培训机构;培训机构,141400,新塘瑶田东联新街十巷1号,广东省,广州市,增城区,113.627195,23.139143,113.6221119,23.14198461
育才托管中心,科教文化服务;科教文化场所;科教文化场所,140000,汇太东路181号,广东省,广州市,增城区,113.622742,23.13104,113.6176626,23.13388964
铭鼋逃托管辅导中心,科教文化服务;培训机构;培训机构,141400,东涌七横街与东华大道辅路交叉口西北20米,广东省,广州市,增城区,113.625064,23.110116,113.6199844,23.11297174
彩虹托育,科教文化服务;培训机构;培训机构,141400,横江路与横江大道交叉口北140米,广东省,广州市,从化区,113.573619,23.585457,113.5684898,23.58821858
广州市圣瑞托育早教中心,科教文化服务;培训机构;培训机构,141400,景瑞街景瑞街8-12号,广东省,广州市,从化区,113.592434,23.536677,113.5873286,23.53944884
龙博士双语托育中心,科教文化服务;培训机构;培训机构,141400,江埔街道沿江南路161号,广东省,广州市,从化区,113.591001,23.535873,113.5858947,23.53864445
教育托辅中心,科教文化服务;科教文化场所;科教文化场所,140000,关围新村东北门旁,广东省,广州市,从化区,113.578992,23.554628,113.5738724,23.55739303
广州市.乐蓓儿托育园,科教文化服务;培训机构;培训机构,141400,江埔街河东南路210号,广东省,广州市,从化区,113.598564,23.534356,113.5934619,23.53712843
优贝乐国际儿童教育中心(从化校区),科教文化服务;培训机构;培训机构,141400,沿江南路182号201,广东省,广州市,从化区,113.590106,23.535064,113.5849991,23.53783515
逸泉贝贝托育园,科教文化服务;学校;幼儿园,141204,逸泉山庄逸泉贝贝托育园,广东省,广州市,从化区,113.565793,23.510508,113.5606553,23.51325771
FAMIC放我家・家庭托育(绿地城园),购物服务;专卖店;专营店,61200,凤湖中路广州绿地城,广东省,广州市,黄埔区,113.546758,23.32055,113.5415893,23.32329185
小马快跑早教托育,科教文化服务;培训机构;培训机构,141400,凤湖四路与九龙大道交叉口西南180米,广东省,广州市,黄埔区,113.542452,23.329442,113.5372709,23.33217206
当乐娃国际智慧托育,科教文化服务;培训机构;培训机构,141400,凤湖四路与九龙大道交叉口西南140米,广东省,广州市,黄埔区,113.542504,23.329705,113.537323,23.33243511
幸福大本营托育中心,购物服务;专卖店;专营店,61200,S378(九龙大道)福里街12号101号,广东省,广州市,黄埔区,113.541308,23.333128,113.5361234,23.33585452
全优加早教绿地缤纷城校,科教文化服务;培训机构;培训机构,141400,九龙大道绿地缤纷城商城1层153-5,广东省,广州市,黄埔区,113.54804,23.323522,113.5428745,23.32626585
托颖教育,科教文化服务;培训机构;培训机构,141400,南香山小学西侧,广东省,广州市,增城区,113.61818,23.226839,113.6130969,23.2296571
廖龙摩托车配件店,摩托车服务;摩托车服务相关;摩托车服务相关,40000,九佛育贤路与黄山北路交叉口北20米,广东省,广州市,黄埔区,113.521051,23.350121,113.5158019,23.35279076
亲呀呀精致托婴托育(增城凤凰城),科教文化服务;科教文化场所;科教文化场所,140000,凤锦苑二街18号101号,广东省,广州市,增城区,113.581906,23.15239,113.5768166,23.15523852
亲呀呀精致托婴托育(翡翠绿洲校区),科教文化服务;培训机构;培训机构,141400,新塘镇陈家林路翡翠绿洲森林半岛一期23栋102号,广东省,广州市,增城区,113.560776,23.138429,113.5556529,23.14125811
爱乐贝多元智能托育中心,科教文化服务;培训机构;培训机构,141400,・保利爱特城南1门东50米,广东省,广州市,黄埔区,113.548059,23.142432,113.5429055,23.14523563
全优加早教托育(翡翠绿洲校),科教文化服务;培训机构;培训机构,141400,陈家林路翡翠绿洲未来汇3楼整层,广东省,广州市,增城区,113.561225,23.131241,113.5561033,23.13407371
小柚子托育园,科教文化服务;培训机构;培训机构,141400,翡翠绿洲3期56栋104,广东省,广州市,增城区,113.560539,23.135885,113.5554156,23.13871474
吉子托英文托育,科教文化服务;培训机构;培训机构,141400,凤凰城凤荔苑一街一号305铺,广东省,广州市,增城区,113.571731,23.125805,113.5666292,23.12865452
全优加早教中心(凤凰城分校),科教文化服务;培训机构;培训机构,141400,新塘镇碧桂园凤凰城凤晴苑星荟商业街1-2号,广东省,广州市,增城区,113.583323,23.158176,113.5782348,23.16102323
贝好国际托育(广州凤凰城园区),科教文化服务;培训机构;培训机构,141400,广场大街凤凰城交通中心广场步行街南2号之8,广东省,广州市,增城区,113.575742,23.125662,113.5706464,23.1285159
蔚莳托育中心,科教文化服务;培训机构;培训机构,141400,新塘镇东方名都大林边一路73、75、785号,广东省,广州市,增城区,113.592871,23.127693,113.5877929,23.13055642
状元贝贝早教托育中心,科教文化服务;培训机构;培训机构,141400,新塘镇东进东路8号新都盛世名门会所二楼,广东省,广州市,增城区,113.598585,23.126766,113.5935098,23.12963031
广州星芯托育(早教中心),科教文化服务;培训机构;培训机构,141400,新塘镇新世界花园美食街金昂二楼,广东省,广州市,增城区,113.570973,23.10924,113.5658711,23.11209538
番茄园托育中心,科教文化服务;培训机构;培训机构,141400,永和誉山国际写字楼融景一路12号101,广东省,广州市,增城区,113.596388,23.18928,113.5913078,23.19212011
金睿家国际早教托育中心(新塘店),科教文化服务;培训机构;培训机构,141400,新塘镇港口大道336号群星新村南门,广东省,广州市,增城区,113.601319,23.128598,113.5962445,23.13146131
承希托育(黄埔旗舰店),科教文化服务;培训机构;培训机构,141400,佳兆业城市广场盛凯一街6号81012,广东省,广州市,黄埔区,113.548464,23.101909,113.5433143,23.10472992
森林王国-托育服务中心,科教文化服务;科教文化场所;科教文化场所,140000,新塘镇花园东路6号(新世界花园1门旁),广东省,广州市,增城区,113.577164,23.108289,113.5720715,23.11115135
小豆苗托育中心,科教文化服务;学校;幼儿园,141204,新惠路与创荣路交叉口东北100米,广东省,广州市,增城区,113.606841,23.195383,113.6017628,23.19821914
芮禾家早教托育园,科教文化服务;培训机构;培训机构,141400,布岭路里享家T9栋306房,广东省,广州市,黄埔区,113.565361,23.196567,113.5602433,23.199381
芮禾家早教托育园(珠江嘉园店),科教文化服务;培训机构;培训机构,141400,来安四街86号,广东省,广州市,黄埔区,113.557653,23.198059,113.5525192,23.20086013
卓越教育托管中心,科教文化服务;培训机构;培训机构,141400,岗丰大道与中心村东路交叉口西340米,广东省,广州市,增城区,113.591782,23.153986,113.5867015,23.15683872
飞屋牧童托育园(南岗佳纷天地店),科教文化服务;学校;幼儿园,141204,佳纷天地二楼,广东省,广州市,黄埔区,113.548815,23.103404,113.5436661,23.10622504
圣约翰早教,科教文化服务;培训机构;培训机构,141400,永宁街道创盈路9号,广东省,广州市,增城区,113.595897,23.18872,113.5908166,23.19156028
启萌园儿童托育早教中心,科教文化服务;培训机构;培训机构,141400,新塘镇东方名都一期1521号,广东省,广州市,增城区,113.593377,23.123956,113.5882995,23.12682103
全优加(新塘广场分校),科教文化服务;培训机构;培训机构|公司企业;公司;公司,141400|170200,新塘镇解放北路113号新星未来教育城2楼,广东省,广州市,增城区,113.614798,23.11609,113.6097236,23.11895251
托普教育(增城校区),科教文化服务;培训机构;培训机构,141400,汽车城大道华兴市场广发银行2楼,广东省,广州市,增城区,113.601174,23.137916,113.5960989,23.1407756
优加教育托管中心,生活服务;生活服务场所;生活服务场所,70000,新塘白江小学(校前路东),广东省,广州市,增城区,113.597682,23.114034,113.5926073,23.1169035
朗朗托管教育中心,科教文化服务;培训机构;培训机构,141400,荷花路与桂花路交叉口西南40米,广东省,广州市,增城区,113.613842,23.11516,113.6087679,23.11802355
金鹰教育托管班,科教文化服务;培训机构;培训机构,141400,黄埔东路2879号34栋,广东省,广州市,黄埔区,113.523984,23.087827,113.5187622,23.09059324
育凡教育托管,科教文化服务;培训机构;培训机构,141400,青年路东盛楼228号602室,广东省,广州市,黄埔区,113.531078,23.064055,113.5258806,23.06685048
小雪人托育中心,科教文化服务;培训机构;培训机构,141400,进港大道与珠电路交叉口西南约80米,广东省,广州市,南沙区,113.552744,22.799035,113.5476249,22.80198919
蓝蝶国际托育园南沙悠方园,科教文化服务;培训机构;培训机构,141400,翠瑜街与柳园路交叉口西120米,广东省,广州市,南沙区,113.521848,22.798473,113.5166382,22.80135218
小鹿安迪托育早教中心,科教文化服务;培训机构;培训机构,141400,南沙街道听海街5街91011号,广东省,广州市,南沙区,113.58375,22.74182,113.5786894,22.74483335
十牛托育(金洲瞳心园),科教文化服务;培训机构;培训机构,141400,中大城创景街5号101(金洲地铁站A口步行240米),广东省,广州市,南沙区,113.537726,22.793361,113.5325667,22.79628402
飞屋牧童双语托育(南沙万达中心),科教文化服务;培训机构;培训机构,141400,南沙万达广场二楼,广东省,广州市,南沙区,113.532995,22.79437,113.5278213,22.79728078
自然树儿童之家(广州南沙金茂湾托育园),科教文化服务;培训机构;培训机构,141400,黄阁镇金茂湾T3栋140号,广东省,广州市,南沙区,113.518846,22.780641,113.5136273,22.78351773
菲格留学教育托管照相复印,科教文化服务;培训机构;培训机构,141400,南沙街富力华庭五街(富力唐宁B区北门145商铺),广东省,广州市,南沙区,113.590395,22.764794,113.5853389,22.7678034
悠悠家蒙特梭利托育中心,科教文化服务;培训机构;培训机构,141400,丰庭花园,广东省,广州市,南沙区,113.538896,22.789696,113.5337404,22.79262312
小星星早期托育中心,科教文化服务;培训机构;培训机构,141400,新垦镇红西一巷7号,广东省,广州市,南沙区,113.60117,22.641491,113.5961271,22.64453337
贝安斯国际托育早教中心,科教文化服务;培训机构;培训机构,141400,钟升路48号钟兴商业广场F2,广东省,广州市,白云区,113.402181,23.379611,113.3966388,23.382028
care for kidz卡尔国际托育园,科教文化服务;培训机构;培训机构,141400,悦景路48号,广东省,广州市,天河区,113.430562,23.142043,113.4250594,23.14454997
纽诺托育・早教,科教文化服务;培训机构;培训机构,141400,开创大道与科翔路交叉口南180米,广东省,广州市,黄埔区,113.452942,23.178422,113.4474824,23.18095353
蒂芭卜蒙氏早教托育中心,科教文化服务;培训机构;培训机构,141400,香雪二路与汇星路交叉口西北60米,广东省,广州市,黄埔区,113.47784,23.175525,113.4724535,23.17812028
广州澳学童心圆托育中心,科教文化服务;培训机构;培训机构,141400,开创大道3330号,广东省,广州市,黄埔区,113.447168,23.186243,113.441694,23.1887598
蒂芭卜托育中心(东荟城店),科教文化服务;培训机构;培训机构,141400,瑞和路万科东荟城北门二街76号,广东省,广州市,黄埔区,113.500368,23.161979,113.4950597,23.16464593
贝贝伴国际早教・托育中心,科教文化服务;培训机构;培训机构,141400,保利中誉广场副座3楼(大沙东地铁站A口步行320米),广东省,广州市,黄埔区,113.458061,23.107553,113.4526196,23.11012394
金鹰宝贝国际托育中心,科教文化服务;培训机构;培训机构,141400,石化路219号文冲同创汇二楼,广东省,广州市,黄埔区,113.469565,23.106958,113.4641569,23.1095578
大沙东托育园,科教文化服务;学校;幼儿园,141204,石化小区东南门西80米,广东省,广州市,黄埔区,113.458547,23.107866,113.4531069,23.11043795
狮子王贝贝国际托育(户外花园旗舰店),科教文化服务;培训机构;培训机构,141400,萝岗科学城开创大道锐丰广场9栋3层全层,广东省,广州市,黄埔区,113.502254,23.17285,113.4969516,23.17551847
智慧城托育中心,科教文化服务;培训机构;培训机构,141400,凌塘环村路与凌塘村上街东交叉口西北40米,广东省,广州市,天河区,113.401048,23.17024,113.3955202,23.17271808
飞屋牧童托育园(萝岗锐丰店),科教文化服务;培训机构;培训机构,141400,荔红路锐丰中心7栋一楼,广东省,广州市,黄埔区,113.501352,23.173292,113.4960464,23.17595758
尚勤学托育中心,科教文化服务;培训机构;培训机构,141400,-高唐软件园高唐路凌塘村新街16-3号,广东省,广州市,天河区,113.401179,23.170182,113.3956512,23.1726601
金太阳托育中心,科教文化服务;科教文化场所;科教文化场所,140000,新岑五路云峰商务酒店,广东省,广州市,天河区,113.40109,23.170265,113.3955622,23.17274307
爱乐祺・国际托育早教中心(黄埔分中心),科教文化服务;培训机构;培训机构,141400,澳葡街115号201-205,广东省,广州市,黄埔区,113.458917,23.100297,113.4534784,23.10287294
艾肯迪托育中心,科教文化服务;培训机构;培训机构,141400,水西路萝岗和苑H11栋一楼,广东省,广州市,黄埔区,113.479334,23.188212,113.4739515,23.19080679
飞屋牧童托育园(中海康城店),科教文化服务;培训机构;培训机构,141400,中海康城风信街5号,广东省,广州市,天河区,113.403951,23.131945,113.3984262,23.13443809
子优教育课后托育中心,科教文化服务;培训机构;培训机构,141400,宦溪北路与桃园西路交叉口东80米,广东省,广州市,天河区,113.409356,23.117025,113.403834,23.11952519
提分王AI科技教育中心(优托邦・奥体超级Mall店),科教文化服务;科教文化场所;科教文化场所,140000,奥体南路12号优托邦・奥体超级MallF2,广东省,广州市,天河区,113.416726,23.131025,113.4112078,23.13352308
柚米国际教育中心(优托邦奥体旗舰店),科教文化服务;培训机构;培训机构,141400,奥体南路12号3期优托邦购物中心F2,广东省,广州市,天河区,113.415048,23.130247,113.4095285,23.13274437
全国青少年科普创新教育基地(优托邦奥体旗舰店),科教文化服务;培训机构;培训机构,141400,奥体南路12号优托邦F2,广东省,广州市,天河区,113.413896,23.13039,113.4083757,23.13288668
黄岗教育托管辅导中心,科教文化服务;培训机构;培训机构,141400,育英路31号,广东省,广州市,天河区,113.411,23.126899,113.4054781,23.12939576
可乐托管教育,科教文化服务;培训机构;培训机构,141400,怡园小区西街20栋,广东省,广州市,黄埔区,113.450577,23.102233,113.4451168,23.10478971
飞卓托管教育,科教文化服务;培训机构;培训机构,141400,怡园西街16号101室,广东省,广州市,黄埔区,113.450133,23.102092,113.4446717,23.10464786
怪兽充电(英卓思国际教育中心优托邦奥体店),生活服务;共享设备;充电宝,72101,奥体南路小Q儿童城2楼(必胜客楼上),广东省,广州市,天河区,113.414801,23.130188,113.4092813,23.13268525
广东奥林匹克会爱奇体育俱乐部(优托邦奥体店),体育休闲服务;运动场馆;运动场所,80100,奥体南路12号(优托邦购物中心迪卡侬对面),广东省,广州市,天河区,113.410496,23.134512,113.4049733,23.13700551
来电(米娜凯威国际礼仪艺术教育奥体优托邦校区),生活服务;共享设备;充电宝,72101,奥体南路12号优托邦当季2层D220,广东省,广州市,天河区,113.417388,23.131313,113.4118703,23.13381141
秋石托育,科教文化服务;培训机构;培训机构,141400,莲港大道与建设路交叉口东北20米,广东省,广州市,番禺区,113.489107,22.969007,113.4837723,22.97172103
托育辅导中心,科教文化服务;培训机构;培训机构,141400,富怡小区3区东门旁,广东省,广州市,番禺区,113.439761,22.958965,113.4342869,22.96156283
熊猫宝贝早教托育中心,科教文化服务;培训机构;培训机构,141400,石楼镇莲港大道22号一街701栋,广东省,广州市,番禺区,113.486949,22.967528,113.481607,22.97023628
鲸喜哆哆婴幼儿托育中心,科教文化服务;培训机构;培训机构,141400,石楼镇沙浦东路66号,广东省,广州市,番禺区,113.490018,22.970682,113.4846864,22.97339802
阳光教育托管中心,科教文化服务;培训机构;培训机构,141400,水门路25号三楼化龙镇水门路25号,广东省,广州市,番禺区,113.45577,23.037426,113.4503273,23.04002136
蓓蕾托育园,科教文化服务;学校;幼儿园,141204,建设路与西门中路交叉口西40米,广东省,广州市,番禺区,113.501874,22.974268,113.4965836,22.97701812
英莱恩国际早教托育,科教文化服务;科教文化场所;科教文化场所,140000,石楼镇乐羊羊路55号天oF2商铺5梯104-106号,广东省,广州市,番禺区,113.494104,22.947802,113.4887881,22.95054004
精英教育托管服务中心,科教文化服务;培训机构;培训机构,141400,市莲路与岗中路交叉口西北160米,广东省,广州市,番禺区,113.480951,22.966821,113.4755888,22.96951213
育德堂托管,科教文化服务;培训机构;培训机构,141400,市莲路与南荔东路交叉口西60米,广东省,广州市,番禺区,113.468841,22.96195,113.4634405,22.96460986
卓盛教育托管中心招生,科教文化服务;科教文化场所;科教文化场所,140000,沙浦东路与沙浦东路五街交叉口西南20米,广东省,广州市,番禺区,113.49008,22.97056,113.4847486,22.97327626
贝贝亲教育托管辅导社,科教文化服务;培训机构;培训机构,141400,石楼镇建设路秀明街5号,广东省,广州市,番禺区,113.48874,22.969688,113.483404,22.97240065
儒雅教育托管中心,科教文化服务;培训机构;培训机构,141400,石基镇富怡路17号,广东省,广州市,番禺区,113.439157,22.958079,113.4336818,22.96067622
